symbol: CNE LN Equity, event:TRADE, server_time:1664451405087411, received_time:1664451405119360, price: 254.0, vol: 1711, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405087424, received_time:1664451405122375, price: 254.0, vol: 1711, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451405087435, received_time:1664451405126109, price: 254.0, vol: 1712, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405087457, received_time:1664451405129066, price: 254.0, vol: 1712, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451405087467, received_time:1664451405131687, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451405109280, received_time:1664451405134296, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405110350, received_time:1664451405137836, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405110455, received_time:1664451405140681, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405110516, received_time:1664451405143080, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405118862, received_time:1664451405145295, price: 254.0, vol: 1713, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: TLW LN Equity, event:TRADE, server_time:1664451428275344, received_time:1664451428277023, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: True
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451428440295, received_time:1664451428456518, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: True
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451428440347, received_time:1664451428544117, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: True
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451428441472, received_time:1664451428577658, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: True
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451428443162, received_time:1664451428600707, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: True
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451428739203, received_time:1664451428740389, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451429160234, received_time:1664451429161758, price: 43.3, vol: 660, bid:43.3, ask: 43.44, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451447781663, received_time:1664451447789627, price: 254.0, vol: 1714, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451463609074, received_time:1664451463617357, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451463609092, received_time:1664451463662399, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451463609181, received_time:1664451463670625, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451463609194, received_time:1664451463678284, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451463838031, received_time:1664451463838800, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451464115265, received_time:1664451464136597, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451495822197, received_time:1664451495825125, price: 253.8, vol: 1715, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451495822295, received_time:1664451495835968, price: 253.8, vol: 1716, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495822311, received_time:1664451495841524, price: 253.8, vol: 1716, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451495822319, received_time:1664451495846671, price: 253.8, vol: 1717, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495822324, received_time:1664451495854382, price: 253.8, vol: 1717, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451495822330, received_time:1664451495867634, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495826904, received_time:1664451495881479, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451495826949, received_time:1664451495890804, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495869818, received_time:1664451495898377, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451495878385, received_time:1664451495903560, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495878454, received_time:1664451495910762, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451495878468, received_time:1664451495916753, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495878481, received_time:1664451495922472, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451495878492, received_time:1664451495928140, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451495950852, received_time:1664451495952441, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451496491531, received_time:1664451496499799, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451499765231, received_time:1664451499770580, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451499767465, received_time:1664451499781637, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451499767491, received_time:1664451499790589, price: 253.8, vol: 1718, bid:253.6, ask: 254.0, valid: True, outliner: False
symbol: TLW LN Equity, event:BID_CHANGE, server_time:1664451510171196, received_time:1664451510184233, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451510182247, received_time:1664451510211174, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: TLW LN Equity, event:ASK_CHANGE, server_time:1664451510184749, received_time:1664451510222855, price: 43.3, vol: 660, bid:43.32, ask: 43.44, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451520357349, received_time:1664451520369640, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451520357602, received_time:1664451520388956, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451520357633, received_time:1664451520397820, price: 253.8, vol: 1718, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530177940636, received_time:1664530177941610, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: True
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664530177940690, received_time:1664530177948414, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: True
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530177940698, received_time:1664530177951537, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: True
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664530177940702, received_time:1664530177954077, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: True
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530177940706, received_time:1664530177956113, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: True
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664530177940708, received_time:1664530177958380, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530177940711, received_time:1664530177961182, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664530177940713, received_time:1664530177963803, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530184746919, received_time:1664530184747223, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664530184746922, received_time:1664530184754108, price: 243.6, vol: 72, bid:243.2, ask: 244.0, valid: True, outliner: False
